"_time","Latitude 1664","Longitude 1664"
1778951345800,42.0682733,-84.23720644999999
1778951346000,42.068237975,-84.23719009999999
1778951346200,42.068202975,-84.23717322499999
1778951346400,42.068170475,-84.237158775
1778951346600,42.068137019999995,-84.2371447
1778951346800,42.068109566666664,-84.23713416666665
1778951347000,42.068087125,-84.23712835
1778951347200,42.068062375000004,-84.23712797499999
1778951347400,42.06803895,-84.237135175
1778951347600,42.068017025,-84.2371473
1778951347800,42.067995975,-84.237165525
1778951348000,42.06797725,-84.23718857499999
1778951348200,42.0679584,-84.23721617499999
1778951348400,42.067937725,-84.237244925
1778951348600,42.06791077999999,-84.23727492
1778951348800,42.06788553333333,-84.2372998
1778951349000,42.0678642,-84.23732257500001
1778951349200,42.067842125,-84.237352625
1778951349400,42.067821499999994,-84.23739022
1778951349600,42.06780345,-84.23743085
1778951349800,42.0677906,-84.23746346666665
1778951350000,42.067776275,-84.23749484999999
1778951350200,42.067758049999995,-84.237526975
1778951350400,42.067736675,-84.2375546
1778951350600,42.067712424999996,-84.23757699999999
1778951350800,42.067688000000004,-84.23759349999999
1778951351000,42.067660825,-84.2376028
1778951351200,42.0676308,-84.237605925
1778951351400,42.067600125,-84.237603475
1778951351600,42.067568225,-84.23759475
1778951351800,42.06753505,-84.23758245
1778951352000,42.06750055,-84.2375669
1778951352200,42.067465975,-84.23754914999999
1778951352400,42.067430175000005,-84.23753012499999
1778951352600,42.067393075,-84.23750942499998
1778951352800,42.067354550000005,-84.237487675
1778951353000,42.06731495,-84.237465825
1778951353200,42.067276575,-84.2374456
1778951353400,42.0672416,-84.23742845
1778951353600,42.06720582,-84.23741152
1778951353800,42.06717325,-84.23739552499998
1778951354000,42.06714665,-84.23738089999999
1778951354200,42.06712493333333,-84.23736889999999
1778951354400,42.06710365,-84.23735964999999
1778951354600,42.067080024999996,-84.237354
1778951354800,42.067057875,-84.2373549
1778951355000,42.067036650000006,-84.23736202500001
1778951355200,42.0670131,-84.2373762
1778951355400,42.0669949,-84.237395625
1778951355600,42.066984133333335,-84.23741496666666
1778951355800,42.066974175,-84.2374369
1778951356000,42.06696452,-84.23746947999999
1778951356200,42.066952549999996,-84.23750545
1778951356400,42.066941066666665,-84.23753086666666
1778951356600,42.06692795,-84.237554925
1778951356800,42.0669105,-84.237581525
1778951357000,42.066896175,-84.237611525
1778951357200,42.0668854,-84.23764355
1778951357400,42.066878975,-84.237677375
1778951357600,42.066876825,-84.23770682499999
1778951357800,42.066876824999994,-84.23773632499999
1778951358000,42.06687435,-84.23776389999999
1778951358200,42.06686615,-84.23778904999999
1778951358400,42.066856200000004,-84.237812275
1778951358600,42.066841275,-84.237828775
1778951358800,42.0668235,-84.237840375
1778951359000,42.06680457499999,-84.237848075
1778951359200,42.066783575,-84.2378526
1778951359400,42.066761675,-84.2378508
1778951359600,42.0667395,-84.23784325
1778951359800,42.066717374999996,-84.23782999999999
1778951360000,42.066696150000006,-84.237813775
1778951360200,42.0666762,-84.2377952
1778951360400,42.066655100000006,-84.237772225
1778951360600,42.066632025000004,-84.237743725
1778951360800,42.066608325,-84.2377123
1778951361000,42.066584375,-84.237680075
1778951361200,42.066561625,-84.23765245
1778951361400,42.066539775,-84.23762802499999
1778951361600,42.066518925,-84.23760647499999
1778951361800,42.066498374999995,-84.2375878
1778951362000,42.066477299999995,-84.23757189999999
1778951362200,42.066456224999996,-84.23756
1778951362400,42.06643336,-84.23755403999999
1778951362600,42.0664092,-84.23755374999999
1778951362800,42.066391333333335,-84.23755776666667
1778951363000,42.066374325,-84.237565875
1778951363200,42.066355675,-84.237579125
1778951363400,42.066340000000004,-84.23760034
1778951363600,42.06632973333333,-84.23762386666665
1778951363800,42.06632269999999,-84.23764555
1778951364000,42.066315925,-84.237671975
1778951364200,42.06631005,-84.237702175
1778951364400,42.066304175,-84.237734825
1778951364600,42.066297475,-84.23776905
1778951364800,42.06629040000001,-84.2378026
1778951365000,42.06628245,-84.23783237499998
1778951365200,42.066271900000004,-84.23785807499999
1778951365400,42.066258274999996,-84.237879425
1778951365600,42.066241425,-84.2378955
1778951365800,42.066222849999996,-84.237906125
1778951366000,42.066202075,-84.237910625
1778951366200,42.066179025,-84.2379096
1778951366400,42.0661544,-84.2379021
1778951366600,42.066128625,-84.23789115000001
1778951366800,42.066101925,-84.23787485
1778951367000,42.066073724999995,-84.23785625
1778951367200,42.06603968,-84.23783374
1778951367400,42.066003574999996,-84.23781414999999
1778951367600,42.06597443333333,-84.2378027
1778951367800,42.06594295000001,-84.237795025
1778951368000,42.06590465,-84.237789975
1778951368200,42.06586059999999,-84.23779148000001
1778951368400,42.06582053333333,-84.23779789999999
1778951368600,42.0657849,-84.2378069
1778951368800,42.065743499999996,-84.237820125
1778951369000,42.06570215,-84.2378354
1778951369200,42.0656594,-84.23785055
1778951369400,42.065615325,-84.23786525
1778951369600,42.065570075,-84.237879625
1778951369800,42.065527,-84.23789394999999
1778951370000,42.065487425,-84.23790807499999
1778951370200,42.065450274999996,-84.23792147500001
1778951370400,42.0654149,-84.23793415
1778951370600,42.065377940000005,-84.23794664
1778951370800,42.0653477,-84.23795546666666
1778951371000,42.06531997999999,-84.2379625
1778951371200,42.06529423333333,-84.23797026666666
1778951371400,42.065273625,-84.23798079999999
1778951371600,42.065252300000004,-84.23799555
1778951371800,42.06523368,-84.23801712
1778951372000,42.065221799999996,-84.23803863333333
1778951372200,42.06521465,-84.23805772499999
1778951372400,42.06520497499999,-84.238079175
1778951372600,42.0651912,-84.238094525
1778951372800,42.06517206,-84.2381051
1778951373000,42.065155366666666,-84.23810996666666
1778951373200,42.065137324999995,-84.23811012499999
1778951373400,42.065115399999996,-84.23810627499999
1778951373600,42.065092,-84.2381001
